"area_id","parea_id","amo","sum","total","pages","female","male","ctime","update_time","max_hour","avg_hour"
"86","2","33303","570763","522","11","0","0","11/4/2019 17:00:00","11/4/2019 17:16:16","0","0"
"249","2","2597","3337","23","1","0","0","11/4/2019 17:00:00",,"0","0"
"248","2","4177","5109","10","1","0","0","11/4/2019 17:00:00",,"0","0"
"214","3","2341","2406","8","1","0","0","11/4/2019 17:00:00",,"0","0"
"154","3","972","1139","17","1","0","0","11/4/2019 17:00:00",,"0","0"
"113","3","2661","3368","19","1","0","0","11/4/2019 17:00:00",,"0","0"
"40","3","5070","15494","30","1","0","0","11/4/2019 17:00:00",,"0","0"
"37","3","16294","19698","24","1","0","0","11/4/2019 17:00:00",,"0","0"
"156","3","12352","20782","31","1","0","0","11/4/2019 17:00:00",,"0","0"
"176","2","731","1525","11","1","0","0","11/4/2019 17:00:00",,"0","0"
"107","2","23954","85911","422","9","0","0","11/4/2019 17:00:00","11/4/2019 17:16:16","0","0"
"166","2","10","46","6","1","0","0","11/4/2019 17:00:00",,"0","0"
"229","6","4493","9412","15","1","0","0","11/4/2019 17:00:00",,"0","0"
"173","2","145","201","6","1","0","0","11/4/2019 17:00:00",,"0","0"
"96","4","2511","6379","22","1","0","0","11/4/2019 17:00:00",,"0","0"
"35","3","62261","426672","247","5","0","0","11/4/2019 17:00:00","11/4/2019 17:16:15","0","0"
"153","3","38724","197586","115","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:16","0","0"
"163","3","62057","204531","81","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:15","0","0"
"51","4","6905","33666","103","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:17","0","0"
"95","4","1949","2250","14","1","0","0","11/4/2019 17:00:00",,"0","0"
"193","5","7195","7195","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"34","1","46423","129058","102","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:18","0","0"
"192","5","6833","38170","46","1","0","0","11/4/2019 17:00:00",,"0","0"
"123","1","222","403","12","1","0","0","11/4/2019 17:00:00",,"0","0"
"25","1","193","482","23","1","0","0","11/4/2019 17:00:00",,"0","0"
"207","1","31","40","2","1","0","0","11/4/2019 17:00:00",,"0","0"
"33","1","27956","572700","334","7","0","0","11/4/2019 17:00:00","11/4/2019 17:16:22","0","0"
"28","1","10128","19199","47","1","0","0","11/4/2019 17:00:00",,"0","0"
"21","1","9534","23762","13","1","0","0","11/4/2019 17:00:00",,"0","0"
"136","1","32","130","9","1","0","0","11/4/2019 17:00:00",,"0","0"
"199","1","17467","45344","33","1","0","0","11/4/2019 17:00:00",,"0","0"
"235","6","313582","601247","275","6","0","0","11/4/2019 17:00:00","11/4/2019 17:16:21","0","0"
"145","1","10505","90743","91","2","0","0","11/4/2019 17:00:00","11/4/2019 17:16:20","0","0"
"246","6","11","26","3","1","0","0","11/4/2019 17:00:00",,"0","0"
"222","6","4361","4361","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"143","1","5270","12513","18","1","0","0","11/4/2019 17:00:00",,"0","0"
"225","6","13","13","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"27","1","7532","81251","453","10","0","0","11/4/2019 17:00:00","11/4/2019 17:16:23","0","0"
"190","5","9752","49170","47","1","0","0","11/4/2019 17:00:00",,"0","0"
"94","4","4692","15619","47","1","0","0","11/4/2019 17:00:00",,"0","0"
"224","6","7","7","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"226","6","39","43","2","1","0","0","11/4/2019 17:00:00",,"0","0"
"247","6","28837","60658","23","1","0","0","11/4/2019 17:00:00",,"0","0"
"232","6","0","0","0","1","0","0","11/4/2019 17:00:00",,"0","0"
"241","6","27","39","3","1","0","0","11/4/2019 17:00:00",,"0","0"
"223","6","15551","23736","12","1","0","0","11/4/2019 17:00:00",,"0","0"
"230","6","0","0","0","1","0","0","11/4/2019 17:00:00",,"0","0"
"220","6","63","67","2","1","0","0","11/4/2019 17:00:00",,"0","0"
"244","6","63","167","11","1","0","0","11/4/2019 17:00:00",,"0","0"
"228","6","978","1156","6","1","0","0","11/4/2019 17:00:00",,"0","0"
"243","6","108","348","17","1","0","0","11/4/2019 17:00:00",,"0","0"
"219","6","21","21","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"227","6","1354","1453","9","1","0","0","11/4/2019 17:00:00",,"0","0"
"237","6","10307","10444","13","1","0","0","11/4/2019 17:00:00",,"0","0"
"218","6","811","1138","19","1","0","0","11/4/2019 17:00:00",,"0","0"
"221","6","2717","3419","15","1","0","0","11/4/2019 17:00:00",,"0","0"
"233","6","17","17","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"242","3","41","41","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"98","3","40255","79233","120","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:25","0","0"
"236","6","164988","199331","117","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:25","0","0"
"216","6","9127","21307","49","1","0","0","11/4/2019 17:00:00",,"0","0"
"245","6","121395","175535","140","3","0","0","11/4/2019 17:00:00","11/4/2019 17:16:26","0","0"
"238","3","1144","1144","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"217","6","2250","5560","37","1","0","0","11/4/2019 17:00:00",,"0","0"
"212","3","852","907","6","1","0","0","11/4/2019 17:00:00",,"0","0"
"186","3","16","16","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"211","3","23","53","5","1","0","0","11/4/2019 17:00:00",,"0","0"
"215","3","27","33","2","1","0","0","11/4/2019 17:00:00",,"0","0"
"48","3","19","28","3","1","0","0","11/4/2019 17:00:00",,"0","0"
"42","3","46","64","2","1","0","0","11/4/2019 17:00:00",,"0","0"
"203","3","27","51","3","1","0","0","11/4/2019 17:00:00",,"0","0"
"206","3","0","0","0","1","0","0","11/4/2019 17:00:00",,"0","0"
"182","3","14","82","10","1","0","0","11/4/2019 17:00:00",,"0","0"
"41","3","12531","13127","6","1","0","0","11/4/2019 17:00:00",,"0","0"
"208","3","7228","10205","24","1","0","0","11/4/2019 17:00:00",,"0","0"
"39","3","88","135","7","1","0","0","11/4/2019 17:00:00",,"0","0"
"184","3","12","12","1","1","0","0","11/4/2019 17:00:00",,"0","0"
"178","3","20","60","7","1","0","0","11/4/2019 17:00:00",,"0","0"
"112","2","21","65","4","1","0","0","11/4/2019 17:00:00",,"0","0"
"36","3","2967","3625","24","1","0","0","11/4/2019 17:00:00",,"0","0"
"174","3","47","53","2","1","0","0","11/4/2019 17:00:00",,"0","0"
"141","3","197","296","6","1","0","0","11/4/2019 17:00:00",,"0","0"
"189","3","1934","2154","18","1","0","0","11/4/2019 17:00:00",,"0","0"
"140","3","57196","92265","28","1","0","0","11/4/2019 17:00:00",,"0","0"
"50","3","143","150","2","1","0","0","11/4/2019 17:00:00",,"0","0"
"155","3","22","34","4","1","0","0","11/4/2019 17:00:00",,"0","0"
"81","2","16","39","4","1","0","0","11/4/2019 17:00:00",,"0","0"
"181","2","1311","1748","23","1","0","0","11/4/2019 17:00:00",,"0","0"
"114","2","1127","1295","10","1","0","0","11/4/2019 17:00:00",,"0","0"
"93","2","3300","6804","24","1","0","0","11/4/2019 17:00:00",,"0","0"
"83","2","2532","2848","31","1","0","0","11/4/2019 17:00:00",,"0","0"
